id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,towers,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,location
1175000570,20150312T000000,530000,5,2,1810,4850,1.5,0,0,3,7,1810,0,2000,0,98107,47.67,-122.394,1360,4850,Ghatkopar
6865200140,20140529T000000,485000,4,1,1600,4300,1.5,0,0,4,7,1600,0,2000,0,98103,47.6648,-122.343,1610,4300,Mulund
16000397,20141205T000000,189000,2,1,1200,9850,1,0,0,4,7,1200,0,2000,0,98002,47.3089,-122.21,1060,5095,Ghatkopar
1794500383,20140626T000000,937000,3,1.75,2450,2691,2,0,0,3,8,1750,700,2000,0,98119,47.6386,-122.36,1760,3573,Thane
3303700376,20141201T000000,667000,3,1,1400,1581,1.5,0,0,5,8,1400,0,2000,0,98112,47.6221,-122.314,1860,3861,Mulund
2768000400,20141230T000000,640000,4,2,2360,6000,2,0,0,4,8,2360,0,2000,0,98107,47.6702,-122.362,1730,4700,Navi Mumbai
5547700270,20140715T000000,625000,4,2.5,2570,5520,2,0,0,3,9,2570,0,2000,0,98074,47.6145,-122.027,2470,5669,Mulund
9270200160,20141028T000000,685000,3,1,1570,2280,2,0,0,3,7,1570,0,2000,0,98119,47.6413,-122.364,1580,2640,Mulund
8820901275,20140610T000000,571000,4,2,2750,7807,1.5,0,0,5,7,2250,500,2000,0,98125,47.7168,-122.287,1510,7807,Mulund
1952200240,20140611T000000,850830,3,2.5,2070,13241,1.5,0,0,5,9,1270,800,2000,0,98102,47.6415,-122.315,2200,4500,Kalyan
3362400511,20150304T000000,570000,3,1.75,1260,3328,1,0,0,5,6,700,560,2000,0,98103,47.6823,-122.349,1380,3536,Kalyan
3626039325,20141121T000000,740500,3,3.5,4380,6350,2,0,0,3,8,2780,1600,2000,1999,98117,47.6981,-122.368,1830,6350,Ghatkopar
4389200955,20150302T000000,1.45E+06,4,2.75,2750,17789,1.5,0,0,3,8,1980,770,2000,1992,98004,47.6141,-122.212,3060,11275,Thane
6140100875,20150415T000000,420000,3,1,1060,8097,1,0,0,4,7,940,120,2000,0,98133,47.7144,-122.351,1560,7940,Navi Mumbai
809001525,20140625T000000,890000,4,1,2550,4000,2,0,0,3,8,2370,180,2000,0,98109,47.6354,-122.353,2200,4000,Mulund
8029200135,20141113T000000,247000,3,2,1270,7198,1.5,0,0,3,7,1270,0,2000,2013,98022,47.2086,-121.996,1160,7198,Thane
